system:index,fr,ir,.geo
0_2035,0.6558499336242676,0.13948188722133636,"{""type"":""Point"",""coordinates"":[27.782590614719233,0.9093049607446123]}"
0_2050,0.5382278561592102,0.23135246336460114,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.5228785276412964,0.11689165234565735,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.834970235824585,0.11320493370294571,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2210,0.2984994947910309,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,1.4559235572814941,0.17397375404834747,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2300,0.1870494931936264,0.19954007863998413,"{""type"":""Point"",""coordinates"":[-76.12777627519255,2.694118636001893]}"
0_2307,0.9942376017570496,0.17516636848449707,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2397,0.38877347111701965,0.24344021081924438,"{""type"":""Point"",""coordinates"":[-78.18461300915935,-4.413365808700447]}"
0_2398,0.9185078144073486,0.15118174254894257,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2498,0.23322515189647675,0.12321408092975616,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2508,0.231787770986557,0.15236184000968933,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,1.3939837217330933,0.17563962936401367,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2541,0.21797116100788116,0.46019449830055237,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.7163611054420471,0.17303931713104248,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2627,0.3854110538959503,0.16527636349201202,"{""type"":""Point"",""coordinates"":[-68.18699659932737,-11.60428224141662]}"
0_2656,0.3646288216114044,0.15764562785625458,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2707,1.2123852968215942,0.1642223596572876,"{""type"":""Point"",""coordinates"":[-61.15972247701096,-10.614109642793569]}"
0_2719,0.8758789896965027,0.22252701222896576,"{""type"":""Point"",""coordinates"":[-75.9180297421939,-6.855137036158686]}"
0_2730,0.2240019589662552,0.17303594946861267,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,0.18450172245502472,0.1122603490948677,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.45336195826530457,0.19536158442497253,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,1.3522605895996094,0.23417603969573975,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2848,0.2159048318862915,0.15236184000968933,"{""type"":""Point"",""coordinates"":[-58.80013351075712,-17.241177167091053]}"
0_2881,0.4855601191520691,0.16470886766910553,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2935,0.5108336210250854,0.16527636349201202,"{""type"":""Point"",""coordinates"":[-50.29656327958681,-1.2435520768799844]}"
0_2946,0.45410406589508057,0.16527636349201202,"{""type"":""Point"",""coordinates"":[-60.936914038732375,0.8395926311384179]}"
0_2980,0.18388210237026215,0.10900542885065079,"{""type"":""Point"",""coordinates"":[-8.537122634675082,8.043141424932408]}"
0_3017,0.44603484869003296,0.1989002376794815,"{""type"":""Point"",""coordinates"":[-77.44078251391706,-0.008746116698565905]}"
0_3019,0.30060914158821106,0.1774187684059143,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3082,0.9787535071372986,0.14447185397148132,"{""type"":""Point"",""coordinates"":[-94.99983103859917,30.15299284435629]}"
0_3207,0.3098407983779907,0.10786241292953491,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3235,0.19729699194431305,0.09482910484075546,"{""type"":""Point"",""coordinates"":[-85.62873705486464,12.57146662749358]}"
0_3295,1.2987273931503296,0.16416187584400177,"{""type"":""Point"",""coordinates"":[-45.80500521880425,-2.1513772805196374]}"
0_3316,0.6348991990089417,0.09420064091682434,"{""type"":""Point"",""coordinates"":[-67.4677995297167,-16.545600931082316]}"
0_3398,0.08862687647342682,0.09636381268501282,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3407,0.5835157036781311,0.165805846452713,"{""type"":""Point"",""coordinates"":[-65.05225249739841,5.260786466613584]}"
0_3462,0.30955106019973755,0.162054643034935,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3481,0.3884839117527008,0.16165854036808014,"{""type"":""Point"",""coordinates"":[-74.47893074903683,-9.60584836426627]}"
0_3489,0.65204256772995,0.17393893003463745,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3585,0.2117203176021576,0.12311907857656479,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3608,0.22151191532611847,0.15236184000968933,"{""type"":""Point"",""coordinates"":[-47.43570279707829,-9.265948568214082]}"
0_3622,0.938338577747345,0.11355585604906082,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3645,0.08044254779815674,0.151117205619812,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
