system:index,va,vr,.geo
0_4562,0.9452429413795471,0.12574145197868347,"{""type"":""Point"",""coordinates"":[14.95940923315133,-1.0610243289525962]}"
0_4567,1.2130215167999268,0.09554675966501236,"{""type"":""Point"",""coordinates"":[-44.80030259278346,-4.551566473918913]}"
0_4586,0.43881869316101074,0.10236640274524689,"{""type"":""Point"",""coordinates"":[-10.954586629412542,6.85201989586116]}"
0_4623,1.0202499628067017,0.09979265928268433,"{""type"":""Point"",""coordinates"":[-54.66582700290687,-26.96587475217042]}"
0_4647,0.6222435832023621,0.1933145374059677,"{""type"":""Point"",""coordinates"":[-53.60154268006002,-2.1222482913533725]}"
0_4652,0.6866418719291687,0.1128576248884201,"{""type"":""Point"",""coordinates"":[-10.891308279510197,7.480121736596807]}"
0_4655,0.9017737507820129,0.10243535041809082,"{""type"":""Point"",""coordinates"":[10.187337519497273,-0.14952600559362314]}"
0_4689,0.578566312789917,0.09466540813446045,"{""type"":""Point"",""coordinates"":[-43.06719860425969,-5.868616630505909]}"
0_4699,0.295487642288208,0.12087592482566833,"{""type"":""Point"",""coordinates"":[-61.70031778974278,-16.01355582426069]}"
0_4702,0.5598649978637695,0.10296285897493362,"{""type"":""Point"",""coordinates"":[-51.03854502118254,-2.3193909227926732]}"
0_4721,0.9419255256652832,0.07557034492492676,"{""type"":""Point"",""coordinates"":[-60.20885882925886,-1.9504609672544784]}"
0_4722,1.1696629524230957,0.21387983858585358,"{""type"":""Point"",""coordinates"":[-77.27561605564114,18.259937764228237]}"
0_4735,0.21421141922473907,0.14340084791183472,"{""type"":""Point"",""coordinates"":[-55.660895356681316,-12.0301762488694]}"
0_4736,0.688281238079071,0.2647418677806854,"{""type"":""Point"",""coordinates"":[-50.93720098104367,-20.148312853377703]}"
0_4756,1.232001543045044,0.4942835867404938,"{""type"":""Point"",""coordinates"":[-87.72966357151023,14.878748985108464]}"
0_4802,1.2379823923110962,0.2908916473388672,"{""type"":""Point"",""coordinates"":[-75.417181410099,8.509832437944349]}"
0_4810,0.6751927733421326,0.14092205464839935,"{""type"":""Point"",""coordinates"":[-47.55693676451862,-9.294307146839328]}"
0_4966,0.9492108821868896,0.11399073153734207,"{""type"":""Point"",""coordinates"":[-40.03739486390332,-3.7318284527896584]}"
0_4993,0.5551105737686157,1.2199400663375854,"{""type"":""Point"",""coordinates"":[21.72083348964027,1.0045348413030377]}"
0_5001,0.421030730009079,0.08381058275699615,"{""type"":""Point"",""coordinates"":[-63.277871938492055,6.14080141519268]}"
0_5014,1.32162606716156,0.26132848858833313,"{""type"":""Point"",""coordinates"":[-72.18895041506097,18.821904259265178]}"
0_5027,0.9051308035850525,0.09751970320940018,"{""type"":""Point"",""coordinates"":[-55.713848296701784,-26.080384708142287]}"
0_5097,0.657220721244812,0.28003770112991333,"{""type"":""Point"",""coordinates"":[-88.32425811105244,13.299715029686116]}"
0_5185,0.8507331013679504,0.09854404628276825,"{""type"":""Point"",""coordinates"":[-70.45900219793988,10.291253709497107]}"
0_5221,0.36221951246261597,0.14123739302158356,"{""type"":""Point"",""coordinates"":[-92.7069745468701,30.97277223583049]}"
0_5225,0.36143770813941956,0.13581247627735138,"{""type"":""Point"",""coordinates"":[-93.06674758007705,30.518906710323083]}"
0_5245,1.087816596031189,0.12055889517068863,"{""type"":""Point"",""coordinates"":[-44.3554503627107,-15.466535323414975]}"
0_5292,0.32082870602607727,0.0924057587981224,"{""type"":""Point"",""coordinates"":[26.729106414801322,1.6959569851749428]}"
0_5327,1.2328356504440308,0.12163671106100082,"{""type"":""Point"",""coordinates"":[11.850441862753497,8.228865588340573]}"
0_5362,1.5324918031692505,0.7658371329307556,"{""type"":""Point"",""coordinates"":[-78.84403579221217,-5.817669684869397]}"
0_5366,0.41050952672958374,0.15024669468402863,"{""type"":""Point"",""coordinates"":[-108.1382957076576,25.155288942301684]}"
0_5390,1.4663474559783936,0.13342660665512085,"{""type"":""Point"",""coordinates"":[0.6690239863942391,7.677461839214407]}"
