system:index,ia,vr,.geo
0_4155,1.223635196685791,0.12460509687662125,"{""type"":""Point"",""coordinates"":[-50.55281348023329,-18.821234376697685]}"
0_4160,1.225760817527771,0.11826831102371216,"{""type"":""Point"",""coordinates"":[17.6187251141969,4.076227397284397]}"
0_4163,1.0495915412902832,0.1123332530260086,"{""type"":""Point"",""coordinates"":[-45.974340185598045,-3.7859651998880106]}"
0_4277,1.0280570983886719,0.11270861327648163,"{""type"":""Point"",""coordinates"":[17.345295408934376,2.5145436523659606]}"
0_4295,1.3802462816238403,0.5823618769645691,"{""type"":""Point"",""coordinates"":[-101.78390747873715,18.034391457240464]}"
0_4305,0.7555654644966125,0.3395247459411621,"{""type"":""Point"",""coordinates"":[19.45843138315632,2.3489182012942367]}"
0_4376,1.1603786945343018,0.0916440486907959,"{""type"":""Point"",""coordinates"":[-56.54612087974751,-10.476152507454792]}"
0_4382,0.767824113368988,0.10754844546318054,"{""type"":""Point"",""coordinates"":[-79.82627070810162,22.333044341388266]}"
0_4406,1.376754879951477,0.09941268712282181,"{""type"":""Point"",""coordinates"":[-57.16194667692444,-11.048387439997366]}"
0_4426,1.2258427143096924,0.24098096787929535,"{""type"":""Point"",""coordinates"":[-51.11294971065152,-21.163435714935822]}"
0_4445,1.2478342056274414,0.11518437415361404,"{""type"":""Point"",""coordinates"":[-37.975216623826796,-7.891379838510319]}"
0_4453,1.2919490337371826,0.10822540521621704,"{""type"":""Point"",""coordinates"":[-36.60876688087857,-8.211344936555179]}"
0_4459,1.4308639764785767,0.11823656409978867,"{""type"":""Point"",""coordinates"":[-54.84067538172123,-9.54429947090634]}"
0_4503,0.668178141117096,0.3362998962402344,"{""type"":""Point"",""coordinates"":[-59.65525007375471,4.19399095584633]}"
0_4534,0.974618673324585,0.2479005604982376,"{""type"":""Point"",""coordinates"":[-38.60670993510561,-12.604340701160778]}"
0_4535,2.2622785568237305,0.1679760068655014,"{""type"":""Point"",""coordinates"":[-44.756670386771944,-20.88040515715589]}"
0_4562,1.0431329011917114,0.12574145197868347,"{""type"":""Point"",""coordinates"":[14.95940923315133,-1.0610243289525962]}"
0_4563,0.7305023074150085,0.9431270360946655,"{""type"":""Point"",""coordinates"":[-61.4719197691256,0.14871360926291194]}"
0_4567,1.0087578296661377,0.09554675966501236,"{""type"":""Point"",""coordinates"":[-44.80030259278346,-4.551566473918913]}"
0_4586,0.7787563800811768,0.10236640274524689,"{""type"":""Point"",""coordinates"":[-10.954586629412542,6.85201989586116]}"
0_4623,1.6033433675765991,0.09979265928268433,"{""type"":""Point"",""coordinates"":[-54.66582700290687,-26.96587475217042]}"
0_4647,0.7400265336036682,0.1933145374059677,"{""type"":""Point"",""coordinates"":[-53.60154268006002,-2.1222482913533725]}"
0_4652,0.6652213335037231,0.1128576248884201,"{""type"":""Point"",""coordinates"":[-10.891308279510197,7.480121736596807]}"
0_4655,0.7857323288917542,0.10243535041809082,"{""type"":""Point"",""coordinates"":[10.187337519497273,-0.14952600559362314]}"
0_4689,1.002135157585144,0.09466540813446045,"{""type"":""Point"",""coordinates"":[-43.06719860425969,-5.868616630505909]}"
0_4699,2.4244298934936523,0.12087592482566833,"{""type"":""Point"",""coordinates"":[-61.70031778974278,-16.01355582426069]}"
0_4721,1.100097417831421,0.07557034492492676,"{""type"":""Point"",""coordinates"":[-60.20885882925886,-1.9504609672544784]}"
0_4722,0.6727533340454102,0.21387983858585358,"{""type"":""Point"",""coordinates"":[-77.27561605564114,18.259937764228237]}"
0_4735,1.4969768524169922,0.14340084791183472,"{""type"":""Point"",""coordinates"":[-55.660895356681316,-12.0301762488694]}"
0_4736,1.034575343132019,0.2647418677806854,"{""type"":""Point"",""coordinates"":[-50.93720098104367,-20.148312853377703]}"
0_4756,1.033454418182373,0.4942835867404938,"{""type"":""Point"",""coordinates"":[-87.72966357151023,14.878748985108464]}"
0_4802,0.8653364181518555,0.2908916473388672,"{""type"":""Point"",""coordinates"":[-75.417181410099,8.509832437944349]}"
0_4810,0.682102382183075,0.14092205464839935,"{""type"":""Point"",""coordinates"":[-47.55693676451862,-9.294307146839328]}"
0_4824,1.0841972827911377,0.11352153867483139,"{""type"":""Point"",""coordinates"":[12.986497505179546,1.6654493425594383]}"
0_4927,2.4072868824005127,0.15207062661647797,"{""type"":""Point"",""coordinates"":[-99.14133600719363,23.118900517326164]}"
0_4966,0.6785572171211243,0.11399073153734207,"{""type"":""Point"",""coordinates"":[-40.03739486390332,-3.7318284527896584]}"
0_4993,1.1330794095993042,1.2199400663375854,"{""type"":""Point"",""coordinates"":[21.72083348964027,1.0045348413030377]}"
0_5001,1.3909140825271606,0.08381058275699615,"{""type"":""Point"",""coordinates"":[-63.277871938492055,6.14080141519268]}"
