system:index,fr,vr,.geo
0_4017,1.498101830482483,0.0902937650680542,"{""type"":""Point"",""coordinates"":[-4.604738588697627,5.372591397091229]}"
0_4019,0.1884443312883377,0.2018776834011078,"{""type"":""Point"",""coordinates"":[-72.980675028626,9.562387799829347]}"
0_4113,0.368967741727829,0.147335022687912,"{""type"":""Point"",""coordinates"":[-8.150128149243798,6.013508839450738]}"
0_4132,0.455426424741745,0.36137881875038147,"{""type"":""Point"",""coordinates"":[11.780182521779103,4.042101934146785]}"
0_4140,0.5144395232200623,0.9570844769477844,"{""type"":""Point"",""coordinates"":[-51.79812843796407,0.7287805948314471]}"
0_4146,0.6036558151245117,0.2025366574525833,"{""type"":""Point"",""coordinates"":[-75.50216586332746,1.336755422088179]}"
0_4152,0.14516068994998932,0.34421074390411377,"{""type"":""Point"",""coordinates"":[-78.48908407035923,-5.8458491726769894]}"
0_4155,0.569225013256073,0.12460509687662125,"{""type"":""Point"",""coordinates"":[-50.55281348023329,-18.821234376697685]}"
0_4160,0.4829285144805908,0.11826831102371216,"{""type"":""Point"",""coordinates"":[17.6187251141969,4.076227397284397]}"
0_4163,1.390987753868103,0.1123332530260086,"{""type"":""Point"",""coordinates"":[-45.974340185598045,-3.7859651998880106]}"
0_4277,0.6385577917098999,0.11270861327648163,"{""type"":""Point"",""coordinates"":[17.345295408934376,2.5145436523659606]}"
0_4305,0.9050731658935547,0.3395247459411621,"{""type"":""Point"",""coordinates"":[19.45843138315632,2.3489182012942367]}"
0_4347,0.12148177623748779,0.2048734724521637,"{""type"":""Point"",""coordinates"":[-73.86114339509619,-12.434274283050415]}"
0_4406,1.4069324731826782,0.09941268712282181,"{""type"":""Point"",""coordinates"":[-57.16194667692444,-11.048387439997366]}"
0_4426,0.3641090989112854,0.24098096787929535,"{""type"":""Point"",""coordinates"":[-51.11294971065152,-21.163435714935822]}"
0_4503,0.3110958933830261,0.3362998962402344,"{""type"":""Point"",""coordinates"":[-59.65525007375471,4.19399095584633]}"
0_4534,0.2803214490413666,0.2479005604982376,"{""type"":""Point"",""coordinates"":[-38.60670993510561,-12.604340701160778]}"
0_4535,0.5126913785934448,0.1679760068655014,"{""type"":""Point"",""coordinates"":[-44.756670386771944,-20.88040515715589]}"
0_4562,0.5096237063407898,0.12574145197868347,"{""type"":""Point"",""coordinates"":[14.95940923315133,-1.0610243289525962]}"
0_4567,0.2951542139053345,0.09554675966501236,"{""type"":""Point"",""coordinates"":[-44.80030259278346,-4.551566473918913]}"
0_4586,0.5657497048377991,0.10236640274524689,"{""type"":""Point"",""coordinates"":[-10.954586629412542,6.85201989586116]}"
0_4647,0.5953625440597534,0.1933145374059677,"{""type"":""Point"",""coordinates"":[-53.60154268006002,-2.1222482913533725]}"
0_4652,0.456752210855484,0.1128576248884201,"{""type"":""Point"",""coordinates"":[-10.891308279510197,7.480121736596807]}"
