system:index,fr,va,.geo
0_1430,0.46372681856155396,0.8179000616073608,"{""type"":""Point"",""coordinates"":[-39.591388718283,-15.189725557242904]}"
0_1465,1.3853685855865479,0.8014695644378662,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1474,0.19852907955646515,0.8123688101768494,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1496,0.15911294519901276,1.3658499717712402,"{""type"":""Point"",""coordinates"":[-40.38778765572844,-10.669651142665895]}"
0_1516,0.09587033092975616,1.506292700767517,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,0.15868189930915833,0.6971992254257202,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1533,0.28619280457496643,0.7844791412353516,"{""type"":""Point"",""coordinates"":[-43.24371973254598,-19.30009931652522]}"
0_1637,0.3999916911125183,0.8206766843795776,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1654,0.37911456823349,0.9460088014602661,"{""type"":""Point"",""coordinates"":[-103.20818585832946,18.38308076411996]}"
0_1671,0.22296284139156342,1.21364164352417,"{""type"":""Point"",""coordinates"":[-72.31867693116918,8.244721718941484]}"
0_1690,0.2256324738264084,0.8739837408065796,"{""type"":""Point"",""coordinates"":[-43.47529049592408,-18.445638567142627]}"
0_1735,0.17037861049175262,1.5188727378845215,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,0.9030229449272156,0.7539039850234985,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.583775520324707,0.8755432963371277,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.5412613153457642,0.6046966314315796,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1963,0.30844786763191223,0.5746121406555176,"{""type"":""Point"",""coordinates"":[-44.43256216212988,-22.59256257815732]}"
0_2031,0.30242276191711426,0.5513087511062622,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2035,0.6558499336242676,0.33388450741767883,"{""type"":""Point"",""coordinates"":[27.782590614719233,0.9093049607446123]}"
0_2050,0.5382278561592102,0.9204186797142029,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.5228785276412964,1.6606863737106323,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.834970235824585,0.7850404381752014,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2186,0.16539767384529114,0.7123115062713623,"{""type"":""Point"",""coordinates"":[-65.09549727283029,-25.82595172025077]}"
0_2210,0.2984994947910309,0.29550448060035706,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,1.4559235572814941,0.4368470311164856,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2271,0.09375258535146713,1.255543828010559,"{""type"":""Point"",""coordinates"":[-70.48541849454313,19.45669791388108]}"
0_2300,0.1870494931936264,0.748458981513977,"{""type"":""Point"",""coordinates"":[-76.12777627519255,2.694118636001893]}"
0_2307,0.9942376017570496,0.39814314246177673,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2391,0.40975460410118103,0.6730341911315918,"{""type"":""Point"",""coordinates"":[15.991403811497946,-1.2191664613047866]}"
0_2398,0.9185078144073486,0.4599214196205139,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2410,0.8004729747772217,0.38339167833328247,"{""type"":""Point"",""coordinates"":[-64.76193872472668,-26.51310622007925]}"
0_2467,0.45336195826530457,1.2121933698654175,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2468,0.23207344114780426,0.9665666222572327,"{""type"":""Point"",""coordinates"":[-98.63959166512251,20.984468947613728]}"
0_2489,0.1862589418888092,0.4352269172668457,"{""type"":""Point"",""coordinates"":[-75.10066946579977,-11.189699398130422]}"
0_2491,0.34784796833992004,1.4718031883239746,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,0.23322515189647675,0.5322510004043579,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
