"id","CEC_mean","CEC_stdDev","DriestQuartes_mean","DriestQuartes_stdDev","Longitude","NPP0010_mean","NPP0010_stdDev","NPP03_mean","NPP03_stdDev","OppCost_mean","OppCost_stdDev","PrecSeanslty_mean","PrecSeanslty_stdDev","Site","WDeficit03_mean","WDeficit03_stdDev","WDeficit8910_mean","WDeficit8910_stdDev","WDeficit99_mean","WDeficit99_stdDev","YrlPrec_mean","YrlPrec_stdDev","Buffer_Size","name","treecover2000_mean","treecover2000_stdDev"
"1_166",25.4168752592434,2.52839503403676,212.358533180026,10.0653120674576,-70.52,12686.8808942615,622.875184228209,13966.0521902493,8013.061563303,4143.21039983321,91.0391231860794,26.8386580157687,0.788954358370542,165,334.984419486421,14.9955690143849,375.127744936637,26.5205127103973,543.485333169075,28.375433868403,103.334178664211,3.19043722964062,5,"",16.5278005913272,7.84076519556866
"1_156",29.7405160408657,3.54315201132336,272.131815928618,18.656343579784,-76.4,11044.2816086343,1562.57309019308,2473.34525776603,6175.31521842957,7487.59608543241,974.171792933978,50.9039160608064,3.21064852817352,155,86.5770853987662,10.1211653076404,86.8955530916401,19.6603695093702,40.3024895351399,13.1742520142157,197.85203609227,10.7926712186834,5,"",92.7181510244547,5.22740878599838
"1_143",24.2096046954361,1.33979243814071,388.481841846968,24.905072159451,-84.167,12063.6015603481,1659.74127301874,17485.7823582128,6584.95014476563,11497.9042040766,350.941140961152,38.4137327700252,1.29278129311861,142,24.2061978122022,2.53992993591866,73.4061426258488,4.09988794211927,48.6133337600819,2.01080228541347,301.818565290838,9.84215099937889,5,"",83.5601928903683,18.097732777099
"1_172",38.8265413214334,1.97960724604067,123.925419062272,1.12290534032615,-87.183,12474.7916209631,758.105223591914,296.825451453559,1725.63520441985,1516.59470249426,290.281528126103,52.6780710988744,0.815322947173298,171,176.496504440305,1.23983546433079,241.338188192149,3.55578433645317,239.411980052366,4.75386009031545,96.1807771581263,1.21731166133695,5,"",90.2407482387238,16.5684294820388
"1_2",48.5521616690876,3.03643235219566,88.9209595128374,1.46016329567129,-90,12138.6051192471,76.8915847806591,0,0,NA,NA,64.0787936142199,0.615384615384584,1,427.159829657669,11.4909718347213,403.750322462196,18.7332470233759,375.150770792188,20.1645462043879,99.4203557453318,0.962734076665125,5,"",98.151909150757,1.22063730840619
"1_161",46.1478206750785,3.49275085995283,104.824341021417,0.915565873962331,-89.104,11822.0563857956,1379.89288653793,4133.20892377608,6673.33561238596,2551.98814518283,367.343701150322,58.2362438220758,0.434260556145771,160,434.166045442065,11.1013584587711,359.465176788477,14.1223714803185,330.493825507963,10.7826314379399,101.155546721595,0.815854280445346,5,"",75.1168039538715,20.7805092627056
"1_149",23.6839700983881,2.8518382185174,62.9084735754355,9.72987137507096,-85.833,11477.4291436501,439.502817319399,17123.3012812381,7006.46768682357,4763.30298324212,153.869649754607,69.2617993167152,2.57035594395768,148,223.358137556765,12.658335360792,251.115351126091,12.6228464487714,258.042371392017,8.64286981839891,123.260070094445,6.83670895497893,5,"",44.4614281496478,11.9588582697226
"1_144",20.8594988349963,1.87512870063244,11.0634478622226,3.22803359537306,-85.65,11434.7023784491,1107.40364788,17896.8798937719,4841.23421353626,4387.79669825718,5081.56503137373,94.7228172393111,2.83696839396696,143,450.684975124378,18.1366660903592,500.938790786328,19.5535671414185,424.873333333333,17.9699327023714,140.085182401088,3.85345418190139,5,"",56.334157782516,18.3091841285561
"1_145",21.1470336717345,1.78671313599785,12.2199113535629,3.07255910870321,-85.62,11787.0344434802,1130.06287410518,17777.0294919877,5053.15298904683,9250.08863404647,4548.34315638936,94.7561370610297,2.6093459214007,144,441.861923229912,12.4356120201365,489.955009737676,12.9399691735655,414.991280969428,9.96873485017834,143.059374940302,2.37307214802062,5,"",60.9294237981589,16.4263794117082
"1_136",46.1905992706443,6.71166255102098,231.692172947108,33.5611100398941,-84.75,9130.97555405373,1368.03629389726,16000.0648978894,3009.3512348552,10594.5535271991,604.801233162329,48.5344783388875,3.27465668788572,135,23.4387763821243,25.8612129455163,59.7223442448064,27.2897593988911,43.2068913953687,17.2770360823753,259.736929298211,12.7787770108923,5,"",94.9871400495599,0.922054592855965
"1_140",25.2170948870741,1.68478250057115,587.467528588496,19.7108859509223,-83.985,11320.5395707375,2037.68995875826,6664.13087113609,6495.21284073234,11668.9605483879,1464.24845622845,29.1691414917221,1.0083996221041,139,24.1699095408773,1.91188399307061,62.8652356579103,4.49928075223448,53.5952665415031,3.63683171910654,333.855188427372,5.35947429854722,5,"",74.636712749616,18.3040507235261
"1_142",25.2628345835626,1.64846488904487,587.158326216908,19.1608747120046,-83.983,11329.6503009469,2039.14483823889,6663.4118933881,6502.41430093406,11613.7766113698,1446.81445025081,29.2090520922288,0.994444401457448,141,24.0610375747225,1.92580558496681,62.5760491874336,4.51915020211996,53.3589097637347,3.65569473823881,333.932875500165,5.25773161784046,5,"",74.3521349274125,18.3116971296976
