value,count,class,zone,group
0.3301,13690,Tropical & Subtropical Coniferous Forests,3,Flora
0.3416,2896,Tropical & Subtropical Coniferous Forests,3,Flora
0.3439,292,Tropical & Subtropical Coniferous Forests,3,Flora
0.3651,1484,Tropical & Subtropical Coniferous Forests,3,Flora
0.4346,188,Tropical & Subtropical Coniferous Forests,3,Flora
0.4365,647,Tropical & Subtropical Coniferous Forests,3,Flora
0.4383,390,Tropical & Subtropical Coniferous Forests,3,Flora
0.4392,4627,Tropical & Subtropical Coniferous Forests,3,Flora
0.4671,478,Tropical & Subtropical Coniferous Forests,3,Flora
0.4694,737,Tropical & Subtropical Coniferous Forests,3,Flora
0.4697,6133,Tropical & Subtropical Coniferous Forests,3,Flora
0.4955,2885,Tropical & Subtropical Coniferous Forests,3,Flora
0.4975,5109,Tropical & Subtropical Coniferous Forests,3,Flora
0.4993,7506,Tropical & Subtropical Coniferous Forests,3,Flora
0.5005,6128,Tropical & Subtropical Coniferous Forests,3,Flora
0.614,6559,Tropical & Subtropical Coniferous Forests,3,Flora
0.6141,5926,Tropical & Subtropical Coniferous Forests,3,Flora
0.7064,1847,Tropical & Subtropical Coniferous Forests,3,Flora
0.716,460,Tropical & Subtropical Coniferous Forests,3,Flora
0.7946,7796,Tropical & Subtropical Coniferous Forests,3,Flora
0.8248,3977,Tropical & Subtropical Coniferous Forests,3,Flora
0.8254,10692,Tropical & Subtropical Coniferous Forests,3,Flora
0.8272,1457,Tropical & Subtropical Coniferous Forests,3,Flora
0.8298,3825,Tropical & Subtropical Coniferous Forests,3,Flora
0.863,8471,Tropical & Subtropical Coniferous Forests,3,Flora
0.8635,390,Tropical & Subtropical Coniferous Forests,3,Flora
0.9445,2978,Tropical & Subtropical Coniferous Forests,3,Flora
0.9454,587,Tropical & Subtropical Coniferous Forests,3,Flora
0.9478,1019,Tropical & Subtropical Coniferous Forests,3,Flora
0.9481,234,Tropical & Subtropical Coniferous Forests,3,Flora
1,427,Tropical & Subtropical Coniferous Forests,3,Flora
0.0865,1353,Temperate Broadleaf & Mixed Forests,4,Flora
0.101,3,Temperate Broadleaf & Mixed Forests,4,Flora
0.1125,11,Temperate Broadleaf & Mixed Forests,4,Flora
0.1126,144,Temperate Broadleaf & Mixed Forests,4,Flora
0.1158,4133,Temperate Broadleaf & Mixed Forests,4,Flora
0.1249,483,Temperate Broadleaf & Mixed Forests,4,Flora
0.1274,165,Temperate Broadleaf & Mixed Forests,4,Flora
0.143,1129,Temperate Broadleaf & Mixed Forests,4,Flora
0.1446,3,Temperate Broadleaf & Mixed Forests,4,Flora
0.145,73438,Temperate Broadleaf & Mixed Forests,4,Flora
0.1455,67,Temperate Broadleaf & Mixed Forests,4,Flora
0.1537,74,Temperate Broadleaf & Mixed Forests,4,Flora
0.1647,3471,Temperate Broadleaf & Mixed Forests,4,Flora
0.1668,377,Temperate Broadleaf & Mixed Forests,4,Flora
0.1686,711,Temperate Broadleaf & Mixed Forests,4,Flora
0.1782,661,Temperate Broadleaf & Mixed Forests,4,Flora
0.2303,1320,Temperate Broadleaf & Mixed Forests,4,Flora
0.2308,3256,Temperate Broadleaf & Mixed Forests,4,Flora
0.2323,2050,Temperate Broadleaf & Mixed Forests,4,Flora
0.2335,1365,Temperate Broadleaf & Mixed Forests,4,Flora
0.2359,7376,Temperate Broadleaf & Mixed Forests,4,Flora
0.2388,5,Temperate Broadleaf & Mixed Forests,4,Flora
0.2396,160,Temperate Broadleaf & Mixed Forests,4,Flora
0.2402,78463,Temperate Broadleaf & Mixed Forests,4,Flora
0.2516,9142,Temperate Broadleaf & Mixed Forests,4,Flora
0.2519,10536,Temperate Broadleaf & Mixed Forests,4,Flora
0.2526,1,Temperate Broadleaf & Mixed Forests,4,Flora
0.256,55,Temperate Broadleaf & Mixed Forests,4,Flora
0.2584,1397,Temperate Broadleaf & Mixed Forests,4,Flora
0.259,19196,Temperate Broadleaf & Mixed Forests,4,Flora
